SeniorCitizen,tenure,MonthlyCharges,numAdminTickets,numTechTickets,Churn,avg_charge,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber_optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One_year,Contract_Two_year,PaperlessBilling_Yes,PaymentMethod_Credit_card_automatic,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,tenure_group_medium,tenure_group_long
1,1,45.25,0,0,0,22.625,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,72,99.9,0,0,0,99.33835616438355,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1
0,5,69.7,0,0,1,52.81666666666666,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,46,74.8,3,0,0,75.49574468085106,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,34,106.35,0,4,1,101.40714285714286,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0
0,11,97.85,0,2,1,92.11666666666667,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
0,10,49.55,5,0,0,43.24545454545454,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,70,69.2,0,0,0,68.62464788732395,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1
0,17,20.75,0,0,0,23.23611111111111,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
0,63,79.85,0,0,0,75.96015625,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1
0,13,76.2,4,0,0,70.10357142857143,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
0,49,84.5,0,3,0,78.134,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
0,2,49.25,0,0,0,32.333333333333336,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,2,80.65,0,0,1,48.050000000000004,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0,52,79.75,1,0,0,79.5811320754717,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1
0,69,64.15,0,0,0,60.77285714285715,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
1,43,90.25,0,0,0,87.24431818181819,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
0,15,99.1,0,1,1,89.15,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
1,25,69.5,4,0,0,67.40961538461539,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
1,8,80.65,0,0,1,70.36666666666666,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1,60,74.85,0,0,0,73.05491803278689,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1
1,18,95.45,0,1,1,92.23947368421052,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0
0,63,99.65,0,0,0,98.6125,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1
1,66,108.45,3,0,0,105.61716417910448,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1
0,34,24.95,0,0,0,25.55142857142857,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0,72,107.5,0,0,0,107.58493150684932,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1
0,47,100.5,0,0,0,98.06458333333335,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1
0,60,89.9,0,0,0,89.35573770491803,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,72,42.1,0,0,0,40.57534246575342,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
0,18,54.4,0,0,0,50.373684210526314,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0
0,9,94.4,0,0,1,85.725,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0,3,75.3,0,0,0,61.025,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0
0,47,78.9,0,3,0,76.04895833333333,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
0,31,79.2,3,0,0,78.0375,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0
0,50,20.15,0,0,0,18.25294117647059,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10,79.85,0,0,0,80.66818181818182,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,49.05,0,0,0,24.525,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,52,20.4,0,0,0,20.578301886792456,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1,64,111.6,0,0,0,109.21538461538462,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1
0,62,24.25,0,0,0,22.61269841269841,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,3,64.5,0,0,0,44.35,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
1,56,110.5,0,0,0,107.71052631578948,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1
0,46,55.65,1,0,0,57.2095744680851,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
0,8,54.65,0,0,0,53.583333333333336,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1,30,74.75,0,0,0,68.10645161290323,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0
0,45,25.9,0,0,0,26.44782608695652,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1
0,1,79.35,2,0,1,39.675,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0,11,50.55,0,0,0,47.112500000000004,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
0,7,75.15,5,0,1,62.1125,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,42,103.8,0,0,0,100.63953488372093,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1
0,49,20.15,0,0,0,19.467,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,9,99.3,0,0,0,91.875,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0
0,35,62.15,0,0,0,61.540277777777774,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
0,48,20.65,0,0,0,21.571428571428573,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,46,19.95,0,0,0,19.72553191489362,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
0,29,33.75,0,0,0,33.641666666666666,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0,30,82.05,0,0,0,82.90967741935484,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,1,74.7,0,0,0,37.35,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,66,84.0,0,0,0,85.28731343283582,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1
0,65,111.05,0,0,0,107.68181818181819,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1
0,72,100.9,0,0,0,102.17876712328767,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1
0,12,78.95,0,0,1,71.33461538461539,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,71,66.85,0,0,0,65.95416666666667,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1
0,5,21.05,5,0,1,18.974999999999998,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,52,21.0,0,0,0,20.89056603773585,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,25,98.5,0,1,1,96.71153846153847,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0
0,1,20.2,0,0,0,10.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,19.45,0,0,0,9.725,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,38,95.0,0,0,0,92.45128205128205,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
1,66,45.55,0,0,0,45.18283582089552,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
0,68,110.0,0,6,1,110.31666666666668,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1
0,5,24.3,0,0,0,16.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,72,104.15,0,0,0,100.04178082191781,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1
0,32,30.15,0,0,0,28.11060606060606,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
0,43,94.35,0,0,0,89.12045454545455,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
0,72,19.4,0,0,0,18.674657534246574,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,55,96.75,0,5,1,93.55178571428571,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
0,52,57.95,5,0,0,57.40094339622642,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1
0,43,91.65,0,0,0,89.86590909090908,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1
1,37,76.5,0,0,1,75.47763157894737,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,64,54.6,0,0,0,52.66923076923077,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1
0,3,89.85,0,0,0,62.1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
0,36,31.05,0,0,0,30.44189189189189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,10,100.25,0,1,1,96.78636363636365,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
0,41,20.65,0,0,0,19.88452380952381,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,27,85.2,0,2,0,76.84285714285714,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
0,56,99.8,0,0,0,96.76228070175438,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1
0,6,20.7,0,0,0,16.107142857142858,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,74.4,0,0,1,57.3875,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,7,50.7,0,0,0,43.79375,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,20.85,0,0,0,12.58,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,33,88.95,0,0,0,89.0485294117647,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
1,27,78.05,0,0,1,76.26785714285714,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
0,72,23.55,0,0,0,23.615753424657534,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1,19.75,0,0,0,9.875,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,71,56.45,0,0,0,55.35208333333333,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1
0,13,85.95,0,0,0,86.83214285714287,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
0,25,58.6,0,1,1,57.79423076923077,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0
0,67,50.55,0,0,0,47.942647058823525,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,1,35.45,0,0,1,17.725,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,2,44.35,0,0,1,27.083333333333332,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,43,25.7,0,0,0,27.004545454545454,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
0,23,75.0,4,0,0,74.10416666666667,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,64,20.2,0,0,0,19.657692307692308,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,57,19.6,0,0,0,20.181896551724137,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
1,1,70.45,0,0,1,35.225,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,72,88.05,0,0,0,88.02260273972603,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1
0,8,71.15,0,0,1,62.62777777777777,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
0,61,101.05,0,0,0,96.31048387096774,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1
0,64,84.3,0,0,0,81.37,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1
1,71,23.95,0,0,0,24.391666666666666,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,65,99.05,0,0,0,97.22272727272727,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1
0,3,19.6,0,0,0,15.3375,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,1,45.65,0,0,1,22.825,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,30,64.5,0,0,0,62.25645161290323,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
0,15,69.5,0,0,0,66.9625,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0
0,8,68.55,4,0,0,62.705555555555556,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
0,7,95.0,2,0,1,81.9375,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0,70,108.15,0,0,0,111.69788732394366,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1
0,62,86.1,1,0,0,82.78174603174604,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1
0,6,19.7,0,0,0,16.214285714285715,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,14,80.9,0,0,0,76.85333333333332,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,22,84.15,0,0,0,79.21521739130435,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,22,20.15,0,0,0,18.256521739130434,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
0,16,64.25,0,0,0,60.23529411764706,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0
0,10,25.7,0,0,0,22.87272727272727,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,13,56.0,0,0,0,54.61071428571428,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
0,20,82.4,0,0,1,75.82619047619048,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0,2,69.7,0,0,0,45.06666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,53,73.9,0,1,0,73.30092592592592,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1
0,11,20.6,2,0,0,19.491666666666667,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,69,19.9,0,0,0,19.477857142857143,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,4,70.9,2,0,1,54.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,72,89.05,4,0,0,85.67739726027396,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1
1,58,45.3,0,5,1,44.93559322033898,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1
0,16,20.4,0,0,0,18.905882352941177,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,43,84.25,0,0,0,80.4375,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1
0,2,104.4,2,0,1,80.93333333333334,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
0,14,81.95,0,0,0,78.78333333333333,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0
0,53,94.85,0,5,1,92.59629629629629,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1
0,32,20.55,0,0,0,19.834848484848482,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,34,24.7,0,0,0,22.291428571428572,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,15,74.45,3,0,1,71.60625,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1,7,76.45,0,0,1,62.95,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,105.35,0,0,0,97.453125,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0
0,61,20.55,0,0,0,20.193548387096776,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1
0,1,29.95,0,0,1,14.975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,45.3,0,0,0,22.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,8,84.5,0,0,1,73.62777777777778,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,33,74.75,0,0,0,72.15588235294118,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0
0,13,79.25,2,1,1,79.40357142857144,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
0,1,24.8,4,0,1,12.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,20,51.8,0,0,0,48.75476190476191,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
0,3,30.4,0,0,0,20.5375,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,13,19.65,0,0,0,17.485714285714288,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0,40,56.6,0,0,0,58.02682926829268,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,43,71.9,0,0,0,72.12159090909091,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1
0,6,91.0,0,0,1,75.85714285714286,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
0,69,19.75,0,0,0,19.64857142857143,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,72,109.7,0,0,0,111.36027397260274,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1
0,59,19.3,0,0,0,19.878333333333334,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,20,96.55,0,0,0,90.5547619047619,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
0,24,24.1,0,0,0,23.496,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
0,59,111.35,0,0,0,108.6625,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1
0,72,112.25,0,0,0,110.15958904109588,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1
0,1,20.75,0,0,0,10.375,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,27,101.9,0,0,0,95.75535714285715,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0
0,14,80.05,0,0,0,74.15333333333334,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
0,71,105.55,0,0,0,102.85416666666667,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1
0,13,78.3,0,0,0,73.85357142857143,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
0,44,68.85,0,0,0,65.75444444444445,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,33,79.95,5,0,0,78.96617647058824,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
0,72,55.45,0,0,0,57.249315068493146,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1
0,1,79.9,0,0,1,39.95,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,19,106.6,0,1,1,96.7225,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0
0,64,102.45,0,0,0,102.37076923076924,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1
0,2,46.0,0,0,1,28.166666666666668,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,1,25.25,5,0,0,12.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,61,19.75,0,0,0,18.13225806451613,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
